date_inicial,date_final,IrrDia_1,th1_dia1,th1_dia2,th1_dia3,th2_dia1,th2_dia2,th2_dia3,MinTemp_dia1,MinTemp_dia2,MinTemp_dia3,MaxTemp_dia1,MaxTemp_dia2,MaxTemp_dia3,Precipitation_dia1,Precipitation_dia2,Precipitation_dia3,ReferenceET_dia1,ReferenceET_dia2,ReferenceET_dia3
1991-07-31,1991-08-02,6.812864181704476,0.218530117659044,0.1978890309937412,0.1734028463441431,0.220013452668748,0.2200012374755846,0.2200001138389842,2.25,-3.92,-4.01,17.59,9.09,11.88,0.0,0.0,0.0,3.1705637555715347,2.202197570922193,2.654386555695978
1992-04-17,1992-04-19,2.780313303307427,0.2000233188046339,0.2395323210122986,0.1981103121444052,0.22,0.22,0.2215010861261149,10.74,13.9,8.46,26.29,24.24,21.88,0.0,7.24,0.76,4.68345606337348,2.990031802320352,3.1276390423122287
1992-04-20,1992-04-22,5.600402946543454,0.2143120560100128,0.2079403330542388,0.182526343992224,0.2201370666299584,0.2200126007057461,0.2200011591106247,6.75,6.85,8.7,22.15,19.83,21.19,0.01,1.79,0.0,3.627480509075178,2.229270656808881,3.097125127978033
1992-04-23,1992-04-25,7.156837640775836,0.2094790938096423,0.2115071055444817,0.1960024597170147,0.2200001066300044,0.2200000098092594,0.2200000009023879,5.31,9.49,8.1,21.76,24.01,19.8,0.0,4.22,0.6,4.055966053667284,3.651998933196416,2.102012713305242
1992-04-26,1992-04-28,4.652213984635772,0.2168018735849414,0.1878632324611548,0.3252201316173655,0.2200000000830137,0.2200000000076366,0.2200000000007024,9.1,9.4,14.35,21.62,23.19,24.33,0.06,0.02,16.48,2.392975088948272,3.312873371671197,2.122706818677722
1992-05-02,1992-05-04,10.636905929417663,0.2222040453928112,0.177824836712081,0.148717477450378,0.2200034188631645,0.2201827931376937,0.2200168006052799,4.26,5.31,9.0,18.13,21.03,22.99,0.0,0.0,0.45,3.5302505900911987,3.871924045929053,3.7609300674746615
1992-05-05,1992-05-07,10.437023074222123,0.2225995671596953,0.1945674881129233,0.2149317121691065,0.220001545417916,0.2202150268224905,0.2200197600716042,15.33,18.26,10.31,26.01,27.61,18.24,0.83,0.5,4.79,3.526194639354906,3.207188114767126,2.503252358528804
1992-05-08,1992-05-10,3.213577594381676,0.2346147035163129,0.2504816581131672,0.2785821785103905,0.2200018176203841,0.2211483944209321,0.222298701656626,7.58,13.3,14.86,18.69,20.3,22.84,0.05,4.71,8.02,1.1775258724191235,1.624123160542979,2.12725192977096
1992-05-14,1992-05-16,13.507234491660046,0.2196201728014229,0.1903141532965432,0.1547380992340969,0.2200028551010987,0.2200002626469711,0.2200000241617764,6.88,9.54,8.14,22.71,21.7,21.8,0.0,0.0,0.0,3.485674415036698,2.664183591352709,3.2697682299555426
1992-05-17,1992-05-19,10.1167450529511,0.2247019210614092,0.1915972186844199,0.1572945594468002,0.2200000022227256,0.2203853533754265,0.220035382569272,8.38,4.87,2.56,21.69,14.76,17.48,0.01,0.0,0.0,2.845784427472611,2.6204794992625566,3.1184235670563334
