date_inicial,date_final,IrrDia_1,IrrDia_2,IrrDia_3,th1_dia1,th1_dia2,th1_dia3,th2_dia1,th2_dia2,th2_dia3,MinTemp_dia1,MinTemp_dia2,MinTemp_dia3,MaxTemp_dia1,MaxTemp_dia2,MaxTemp_dia3,Precipitation_dia1,Precipitation_dia2,Precipitation_dia3,ReferenceET_dia1,ReferenceET_dia2,ReferenceET_dia3,Estresse_hidrico_dia1,Estresse_hidrico_dia2,Estresse_hidrico_dia3
2002-01-08,2002-01-10,0.0,1.0431787131375327,5.479922889093867,0.3726007251818873,0.1993834545283395,0.2145836634036012,0.2270165882237781,0.2229069629877089,0.2202635813825348,15.0,11.7,13.6,25.8,24.8,26.8,22.4,0.0,0.0,3.4,3.2,3.6,0.0,0.0,0.0
2002-01-11,2002-01-13,4.499902001567688,3.9598893078583033,3.619896972441017,0.2199837903406951,0.22218386409543,0.2222989197131091,0.2200242162226439,0.2200022274682342,0.2201810295764243,10.4,9.5,8.8,28.3,26.9,28.0,0.0,0.0,0.0,3.6,3.4,3.1,0.0,0.0,0.0
2002-01-14,2002-01-16,3.2902542332391085,4.7898361991586365,3.729876370753426,0.2127513228608248,0.2221514338471405,0.2136936806892932,0.2202065617674062,0.220018982962174,0.2201798791398375,9.6,10.6,11.2,28.2,29.0,30.7,0.0,0.0,0.0,3.7,3.5,4.0,0.0,0.0,0.0
2002-01-17,2002-01-19,5.029774426357163,4.839732776525598,5.499669893039807,0.2177940971876089,0.2155947260224667,0.2221949851929998,0.2200165330163366,0.2200015208055288,0.2200001399031356,11.2,14.4,16.1,31.3,29.9,29.9,0.0,0.0,0.0,4.2,4.6,4.4,0.0,0.0,0.0
2002-01-20,2002-01-22,4.719625692594367,4.729607838819715,4.389709660340084,0.2200999138826508,0.2222094780578131,0.2179029959767313,0.2201817539840972,0.2200167051819307,0.2201844367839231,15.9,16.7,19.4,29.2,31.4,30.1,0.0,0.0,0.0,4.3,4.1,4.2,0.0,0.0,0.0
2002-01-23,2002-01-25,4.8295140208116,5.059426974913101,4.139493909618159,0.2178038664357163,0.2244039958435983,0.216698010942887,0.2200169515359486,0.22000155930024,0.2203615160366193,17.9,16.6,12.9,31.4,33.2,32.7,0.0,0.0,0.0,4.4,4.0,4.1,0.0,0.0,0.0
2002-01-26,2002-01-28,4.8393248620000415,4.9492046827289045,4.219338371942751,0.2177992127355984,0.2232995622608551,0.2163017476783256,0.2200331977739397,0.2200030534782321,0.2202722496609344,9.8,10.5,11.8,29.0,32.2,31.6,0.0,0.0,0.0,4.3,4.0,4.2,0.0,0.0,0.0
2002-01-29,2002-01-31,4.989022601508086,2.8774040890085257,5.1489214133461125,0.2310003135240217,0.2090516708766155,0.2165539092667168,0.2200250115386909,0.2208800576306211,0.2200806078304015,11.8,16.7,17.9,28.2,30.2,28.2,0.0,0.0,0.0,3.2,3.7,4.0,0.0,0.0,0.0
2002-02-01,2002-02-03,4.738697574335987,4.838474893227962,3.5779137747547938,0.2177561360777971,0.2265554378131364,0.2156792604805326,0.2200074124444201,0.2200006818715764,0.2205332140648247,17.0,15.2,15.4,29.0,28.9,29.0,0.0,0.0,0.0,4.2,3.6,3.7,0.0,0.0,0.0
2002-02-04,2002-02-06,4.498338184028649,5.6078091351844925,5.497411900506385,0.212284550968974,0.2166885233157549,0.2144942086405622,0.2200489231109098,0.2200044995203253,0.2200004139173194,14.8,15.7,14.8,29.0,29.2,30.2,0.0,0.0,0.0,4.4,4.7,5.2,0.0,0.0,0.0
